text,priority,sentiment
Urgent: hostel water issue happening repeatedly,High,Frustrated
Canteen food could be better,Low,Calm
Bus overcrowding causing problems since yesterday,High,Frustrated
Library closes slightly early since yesterday,Low,Calm
Library seating is insufficient since yesterday,Low,Frustrated
Library closes slightly early,Low,Calm
WiFi completely down and nobody responds since yesterday,High,Angry
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Urgent: safety issue reported multiple times ignored,High,Angry
Urgent: bus overcrowding causing problems,High,Frustrated
WiFi completely down and nobody responds in Block C,High,Angry
Urgent: it issues disrupting submissions,High,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Bus timing is manageable since yesterday,Low,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Bus timing is manageable,Low,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Exam timetable is confusing,Medium,Frustrated
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Parking space is poorly managed since yesterday,Low,Frustrated
Sports equipment is damaged multiple times reported,Low,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Faculty missing classes frequently,High,Frustrated
Canteen food could be better multiple times reported,Low,Calm
Classroom is too warm in Block C,Low,Frustrated
Bus is late again and it's annoying in Block C,Medium,Frustrated
Faculty missing classes frequently since yesterday,High,Frustrated
Canteen food could be better in Block C,Low,Calm
Canteen food could be better in Block C,Low,Calm
Canteen prices are high and irritating since yesterday,Low,Frustrated
Fees portal keeps failing,Medium,Frustrated
Urgent: parking space is poorly managed,Low,Frustrated
Bus did not come and students are stranded,High,Angry
WiFi is a bit slow but okay multiple times reported,Low,Calm
Bus did not come and students are stranded multiple times reported,High,Angry
Sports equipment is damaged multiple times reported,Low,Frustrated
Exam timetable is confusing in Block C,Medium,Frustrated
Exam results are delayed please update in Block C,Medium,Calm
Library seating is insufficient since yesterday,Low,Frustrated
Bus timing is manageable,Low,Calm
Hostel water issue happening repeatedly since yesterday,High,Frustrated
Classroom fan makes noise in Block C,Low,Calm
Bus timing is manageable in Block C,Low,Calm
Urgent: hostel water issue happening repeatedly,High,Frustrated
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Urgent: fees portal keeps failing,Medium,Frustrated
Exam timetable is confusing in Block C,Medium,Frustrated
Urgent: canteen food could be better,Low,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Sports equipment is damaged,Low,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Bus overcrowding causing problems multiple times reported,High,Frustrated
Exam timetable is confusing,Medium,Frustrated
Exam hall arrangements very poor,High,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Bonafide certificate request pending since yesterday,Medium,Calm
Water leakage in lab,Medium,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
Hostel water issue happening repeatedly,High,Frustrated
Classroom is too warm,Low,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Exam hall arrangements very poor since yesterday,High,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Bonafide certificate request pending multiple times reported,Medium,Calm
Bus timing is manageable since yesterday,Low,Calm
Library closes slightly early multiple times reported,Low,Calm
Parking space is poorly managed in Block C,Low,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
WiFi is a bit slow but okay multiple times reported,Low,Calm
Urgent: internal marks not showing in portal,Medium,Calm
Urgent: library closes slightly early,Low,Calm
IT issues disrupting submissions in Block C,High,Frustrated
IT issues disrupting submissions,High,Frustrated
Parking space is poorly managed since yesterday,Low,Frustrated
Library closes slightly early in Block C,Low,Calm
Parking space is poorly managed multiple times reported,Low,Frustrated
Urgent: exam results are delayed please update,Medium,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Urgent: classroom is too warm,Low,Frustrated
Canteen food could be better in Block C,Low,Calm
Urgent: bus is late again and it's annoying,Medium,Frustrated
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Urgent: projector not working in seminar hall,Medium,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Urgent: library seating is insufficient,Low,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
WiFi completely down and nobody responds,High,Angry
Classroom is too warm in Block C,Low,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
WiFi completely down and nobody responds in Block C,High,Angry
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Bus is late again and it's annoying in Block C,Medium,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Fees portal keeps failing multiple times reported,Medium,Frustrated
Faculty missing classes frequently since yesterday,High,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Internal marks not showing in portal,Medium,Calm
Bonafide certificate request pending in Block C,Medium,Calm
Urgent: faculty missing classes frequently,High,Frustrated
Library closes slightly early,Low,Calm
Exam results are delayed please update,Medium,Calm
Canteen food could be better since yesterday,Low,Calm
Bus timing is manageable multiple times reported,Low,Calm
Bonafide certificate request pending since yesterday,Medium,Calm
Faculty is not responding to doubts in Block C,Medium,Frustrated
Parking space is poorly managed in Block C,Low,Frustrated
Safety issue reported multiple times ignored in Block C,High,Angry
Library seating is insufficient in Block C,Low,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Fees portal keeps failing,Medium,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Exam timetable is confusing multiple times reported,Medium,Frustrated
Canteen prices are high and irritating in Block C,Low,Frustrated
Urgent: it issues disrupting submissions,High,Frustrated
IT issues disrupting submissions,High,Frustrated
Library seating is insufficient multiple times reported,Low,Frustrated
Urgent: wifi completely down and nobody responds,High,Angry
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
Urgent: library seating is insufficient,Low,Frustrated
Urgent: internal marks not showing in portal,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Fees portal keeps failing in Block C,Medium,Frustrated
Bonafide certificate request pending,Medium,Calm
Water leakage in lab in Block C,Medium,Calm
Exam timetable is confusing,Medium,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Canteen prices are high and irritating,Low,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Water leakage in lab,Medium,Calm
Library closes slightly early in Block C,Low,Calm
Ragging happening and no action taken in Block C,High,Angry
Library seating is insufficient since yesterday,Low,Frustrated
Urgent: exam hall arrangements very poor,High,Frustrated
Sports equipment is damaged multiple times reported,Low,Frustrated
IT issues disrupting submissions since yesterday,High,Frustrated
Exam results are delayed please update multiple times reported,Medium,Calm
Fees portal keeps failing in Block C,Medium,Frustrated
Classroom fan makes noise,Low,Calm
Sports equipment is damaged,Low,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
WiFi is a bit slow but okay multiple times reported,Low,Calm
Bus timing is manageable since yesterday,Low,Calm
Bus did not come and students are stranded,High,Angry
Urgent: faculty missing classes frequently,High,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Sports equipment is damaged multiple times reported,Low,Frustrated
Faculty missing classes frequently,High,Frustrated
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Sports equipment is damaged since yesterday,Low,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Urgent: exam timetable is confusing,Medium,Frustrated
Bus overcrowding causing problems since yesterday,High,Frustrated
Sports equipment is damaged since yesterday,Low,Frustrated
Library seating is insufficient multiple times reported,Low,Frustrated
Urgent: bus did not come and students are stranded,High,Angry
Urgent: water leakage in lab,Medium,Calm
Exam hall arrangements very poor multiple times reported,High,Frustrated
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
Urgent: bus did not come and students are stranded,High,Angry
Internal marks not showing in portal since yesterday,Medium,Calm
Exam hall arrangements very poor in Block C,High,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Ragging happening and no action taken,High,Angry
Classroom fan makes noise since yesterday,Low,Calm
Faculty is not responding to doubts,Medium,Frustrated
Safety issue reported multiple times ignored since yesterday,High,Angry
WiFi is a bit slow but okay,Low,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Projector not working in seminar hall,Medium,Calm
Library closes slightly early,Low,Calm
Hostel water issue happening repeatedly in Block C,High,Frustrated
Ragging happening and no action taken,High,Angry
Projector not working in seminar hall multiple times reported,Medium,Calm
Fees portal keeps failing,Medium,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
Exam hall arrangements very poor,High,Frustrated
Urgent: ragging happening and no action taken,High,Angry
Safety issue reported multiple times ignored,High,Angry
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
WiFi is a bit slow but okay multiple times reported,Low,Calm
Fees portal keeps failing multiple times reported,Medium,Frustrated
WiFi is slow and affecting studies,Medium,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Parking space is poorly managed in Block C,Low,Frustrated
Library seating is insufficient in Block C,Low,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Bus did not come and students are stranded,High,Angry
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Classroom fan makes noise in Block C,Low,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Parking space is poorly managed,Low,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Exam hall arrangements very poor in Block C,High,Frustrated
Exam results are delayed please update in Block C,Medium,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
Library seating is insufficient since yesterday,Low,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Projector not working in seminar hall,Medium,Calm
Exam results are delayed please update,Medium,Calm
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
WiFi completely down and nobody responds,High,Angry
Exam results are delayed please update multiple times reported,Medium,Calm
Parking space is poorly managed in Block C,Low,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Canteen food could be better multiple times reported,Low,Calm
Library seating is insufficient in Block C,Low,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Fees portal keeps failing since yesterday,Medium,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Safety issue reported multiple times ignored multiple times reported,High,Angry
Parking space is poorly managed,Low,Frustrated
Urgent: exam timetable is confusing,Medium,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Bonafide certificate request pending multiple times reported,Medium,Calm
Urgent: library seating is insufficient,Low,Frustrated
Internal marks not showing in portal,Medium,Calm
IT issues disrupting submissions,High,Frustrated
WiFi is a bit slow but okay,Low,Calm
Canteen food could be better in Block C,Low,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
Projector not working in seminar hall,Medium,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Urgent: library closes slightly early,Low,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
WiFi completely down and nobody responds multiple times reported,High,Angry
WiFi is a bit slow but okay,Low,Calm
Faculty is not responding to doubts,Medium,Frustrated
IT issues disrupting submissions in Block C,High,Frustrated
WiFi completely down and nobody responds,High,Angry
Canteen prices are high and irritating since yesterday,Low,Frustrated
WiFi completely down and nobody responds in Block C,High,Angry
Internal marks not showing in portal,Medium,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Urgent: exam hall arrangements very poor,High,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Library closes slightly early multiple times reported,Low,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
WiFi completely down and nobody responds in Block C,High,Angry
Faculty missing classes frequently,High,Frustrated
Urgent: library closes slightly early,Low,Calm
Safety issue reported multiple times ignored since yesterday,High,Angry
Urgent: sports equipment is damaged,Low,Frustrated
Bonafide certificate request pending in Block C,Medium,Calm
Classroom is too warm in Block C,Low,Frustrated
Urgent: water leakage in lab,Medium,Calm
Hostel water issue happening repeatedly,High,Frustrated
WiFi is a bit slow but okay multiple times reported,Low,Calm
Urgent: library closes slightly early,Low,Calm
Bus overcrowding causing problems multiple times reported,High,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Hostel water issue happening repeatedly since yesterday,High,Frustrated
Parking space is poorly managed since yesterday,Low,Frustrated
Exam timetable is confusing in Block C,Medium,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Classroom fan makes noise since yesterday,Low,Calm
Bus overcrowding causing problems,High,Frustrated
Exam timetable is confusing multiple times reported,Medium,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Urgent: canteen food could be better,Low,Calm
Urgent: exam hall arrangements very poor,High,Frustrated
Projector not working in seminar hall,Medium,Calm
Parking space is poorly managed since yesterday,Low,Frustrated
Faculty is not responding to doubts,Medium,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Projector not working in seminar hall,Medium,Calm
Sports equipment is damaged,Low,Frustrated
Safety issue reported multiple times ignored multiple times reported,High,Angry
Exam results are delayed please update since yesterday,Medium,Calm
Canteen food could be better multiple times reported,Low,Calm
Parking space is poorly managed,Low,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Fees portal keeps failing,Medium,Frustrated
Classroom fan makes noise since yesterday,Low,Calm
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Urgent: wifi completely down and nobody responds,High,Angry
Projector not working in seminar hall in Block C,Medium,Calm
Exam hall arrangements very poor since yesterday,High,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Bus did not come and students are stranded in Block C,High,Angry
WiFi is a bit slow but okay in Block C,Low,Calm
Classroom is too warm,Low,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Classroom fan makes noise since yesterday,Low,Calm
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Urgent: internal marks not showing in portal,Medium,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Parking space is poorly managed in Block C,Low,Frustrated
Fees portal keeps failing since yesterday,Medium,Frustrated
Faculty is not responding to doubts,Medium,Frustrated
Fees portal keeps failing,Medium,Frustrated
Urgent: internal marks not showing in portal,Medium,Calm
Canteen prices are high and irritating,Low,Frustrated
Bus is late again and it's annoying in Block C,Medium,Frustrated
Parking space is poorly managed in Block C,Low,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
WiFi is slow and affecting studies,Medium,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Canteen prices are high and irritating since yesterday,Low,Frustrated
Classroom fan makes noise since yesterday,Low,Calm
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Urgent: fees portal keeps failing,Medium,Frustrated
Bus overcrowding causing problems,High,Frustrated
IT issues disrupting submissions since yesterday,High,Frustrated
Safety issue reported multiple times ignored,High,Angry
Library seating is insufficient,Low,Frustrated
WiFi completely down and nobody responds,High,Angry
Library seating is insufficient since yesterday,Low,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Urgent: classroom is too warm,Low,Frustrated
Exam hall arrangements very poor,High,Frustrated
Projector not working in seminar hall,Medium,Calm
Sports equipment is damaged since yesterday,Low,Frustrated
Sports equipment is damaged multiple times reported,Low,Frustrated
Safety issue reported multiple times ignored since yesterday,High,Angry
Urgent: projector not working in seminar hall,Medium,Calm
Safety issue reported multiple times ignored multiple times reported,High,Angry
WiFi is a bit slow but okay,Low,Calm
WiFi is a bit slow but okay,Low,Calm
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Bus did not come and students are stranded since yesterday,High,Angry
Urgent: ragging happening and no action taken,High,Angry
Exam timetable is confusing in Block C,Medium,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
WiFi is slow and affecting studies,Medium,Frustrated
Library closes slightly early multiple times reported,Low,Calm
WiFi is slow and affecting studies multiple times reported,Medium,Frustrated
WiFi is a bit slow but okay since yesterday,Low,Calm
Urgent: sports equipment is damaged,Low,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Ragging happening and no action taken,High,Angry
WiFi completely down and nobody responds multiple times reported,High,Angry
Urgent: bus is late again and it's annoying,Medium,Frustrated
Bonafide certificate request pending in Block C,Medium,Calm
Classroom is too warm multiple times reported,Low,Frustrated
Urgent: faculty is not responding to doubts,Medium,Frustrated
Urgent: exam timetable is confusing,Medium,Frustrated
Urgent: bus overcrowding causing problems,High,Frustrated
Classroom fan makes noise multiple times reported,Low,Calm
Bonafide certificate request pending since yesterday,Medium,Calm
Bus did not come and students are stranded in Block C,High,Angry
Urgent: safety issue reported multiple times ignored,High,Angry
Canteen prices are high and irritating since yesterday,Low,Frustrated
Projector not working in seminar hall,Medium,Calm
Bus timing is manageable multiple times reported,Low,Calm
Ragging happening and no action taken multiple times reported,High,Angry
Canteen prices are high and irritating in Block C,Low,Frustrated
Bonafide certificate request pending since yesterday,Medium,Calm
Canteen food could be better,Low,Calm
Safety issue reported multiple times ignored in Block C,High,Angry
Faculty missing classes frequently multiple times reported,High,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
Urgent: classroom is too warm,Low,Frustrated
Urgent: bonafide certificate request pending,Medium,Calm
WiFi is a bit slow but okay in Block C,Low,Calm
Urgent: canteen prices are high and irritating,Low,Frustrated
Bus is late again and it's annoying,Medium,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Sports equipment is damaged since yesterday,Low,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Urgent: it issues disrupting submissions,High,Frustrated
Ragging happening and no action taken multiple times reported,High,Angry
Bus timing is manageable,Low,Calm
Exam timetable is confusing in Block C,Medium,Frustrated
IT issues disrupting submissions since yesterday,High,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Sports equipment is damaged,Low,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Ragging happening and no action taken in Block C,High,Angry
Projector not working in seminar hall since yesterday,Medium,Calm
Bus timing is manageable,Low,Calm
Urgent: bus overcrowding causing problems,High,Frustrated
Canteen prices are high and irritating since yesterday,Low,Frustrated
Bus timing is manageable,Low,Calm
Urgent: water leakage in lab,Medium,Calm
Canteen prices are high and irritating since yesterday,Low,Frustrated
Safety issue reported multiple times ignored,High,Angry
Ragging happening and no action taken in Block C,High,Angry
Classroom is too warm multiple times reported,Low,Frustrated
Urgent: canteen food could be better,Low,Calm
Sports equipment is damaged since yesterday,Low,Frustrated
Sports equipment is damaged in Block C,Low,Frustrated
Urgent: fees portal keeps failing,Medium,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Urgent: exam hall arrangements very poor,High,Frustrated
Ragging happening and no action taken in Block C,High,Angry
Urgent: bonafide certificate request pending,Medium,Calm
Sports equipment is damaged multiple times reported,Low,Frustrated
Urgent: water leakage in lab,Medium,Calm
Projector not working in seminar hall multiple times reported,Medium,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
Urgent: bus did not come and students are stranded,High,Angry
Exam results are delayed please update since yesterday,Medium,Calm
Sports equipment is damaged in Block C,Low,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Faculty is not responding to doubts in Block C,Medium,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Urgent: canteen food could be better,Low,Calm
Hostel water issue happening repeatedly,High,Frustrated
Projector not working in seminar hall in Block C,Medium,Calm
Parking space is poorly managed,Low,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Classroom fan makes noise in Block C,Low,Calm
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Classroom fan makes noise,Low,Calm
Hostel water issue happening repeatedly,High,Frustrated
Faculty missing classes frequently,High,Frustrated
Bus is late again and it's annoying,Medium,Frustrated
WiFi is slow and affecting studies multiple times reported,Medium,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Urgent: library seating is insufficient,Low,Frustrated
Library seating is insufficient in Block C,Low,Frustrated
Bonafide certificate request pending multiple times reported,Medium,Calm
Bonafide certificate request pending,Medium,Calm
Canteen prices are high and irritating in Block C,Low,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
Exam timetable is confusing,Medium,Frustrated
Library closes slightly early since yesterday,Low,Calm
Exam results are delayed please update multiple times reported,Medium,Calm
Safety issue reported multiple times ignored,High,Angry
Faculty missing classes frequently,High,Frustrated
Projector not working in seminar hall in Block C,Medium,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Library seating is insufficient in Block C,Low,Frustrated
Bus did not come and students are stranded since yesterday,High,Angry
Exam hall arrangements very poor in Block C,High,Frustrated
Urgent: sports equipment is damaged,Low,Frustrated
Urgent: bus did not come and students are stranded,High,Angry
Urgent: canteen food could be better,Low,Calm
Library closes slightly early,Low,Calm
Urgent: classroom fan makes noise,Low,Calm
WiFi is slow and affecting studies,Medium,Frustrated
WiFi is slow and affecting studies in Block C,Medium,Frustrated
IT issues disrupting submissions,High,Frustrated
Classroom fan makes noise in Block C,Low,Calm
Bus overcrowding causing problems in Block C,High,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Bus timing is manageable in Block C,Low,Calm
Faculty missing classes frequently multiple times reported,High,Frustrated
Canteen prices are high and irritating since yesterday,Low,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Urgent: water leakage in lab,Medium,Calm
Urgent: ragging happening and no action taken,High,Angry
Safety issue reported multiple times ignored since yesterday,High,Angry
Urgent: library seating is insufficient,Low,Frustrated
Canteen prices are high and irritating,Low,Frustrated
Exam timetable is confusing in Block C,Medium,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
WiFi completely down and nobody responds,High,Angry
Bus timing is manageable since yesterday,Low,Calm
Projector not working in seminar hall since yesterday,Medium,Calm
Ragging happening and no action taken in Block C,High,Angry
Urgent: ragging happening and no action taken,High,Angry
Exam results are delayed please update multiple times reported,Medium,Calm
Internal marks not showing in portal multiple times reported,Medium,Calm
Urgent: water leakage in lab,Medium,Calm
Urgent: bus timing is manageable,Low,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Bus did not come and students are stranded multiple times reported,High,Angry
Parking space is poorly managed in Block C,Low,Frustrated
Parking space is poorly managed in Block C,Low,Frustrated
Water leakage in lab,Medium,Calm
Faculty is not responding to doubts in Block C,Medium,Frustrated
Water leakage in lab,Medium,Calm
Bus overcrowding causing problems,High,Frustrated
Urgent: canteen prices are high and irritating,Low,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Internal marks not showing in portal since yesterday,Medium,Calm
WiFi is a bit slow but okay multiple times reported,Low,Calm
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
Urgent: bus did not come and students are stranded,High,Angry
Urgent: sports equipment is damaged,Low,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Urgent: library closes slightly early,Low,Calm
Urgent: parking space is poorly managed,Low,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Water leakage in lab,Medium,Calm
Urgent: bus did not come and students are stranded,High,Angry
Fees portal keeps failing,Medium,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Urgent: water leakage in lab,Medium,Calm
Water leakage in lab since yesterday,Medium,Calm
Water leakage in lab multiple times reported,Medium,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
WiFi is a bit slow but okay since yesterday,Low,Calm
Bus did not come and students are stranded in Block C,High,Angry
Urgent: projector not working in seminar hall,Medium,Calm
Projector not working in seminar hall in Block C,Medium,Calm
Urgent: parking space is poorly managed,Low,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Urgent: water leakage in lab,Medium,Calm
