text,category
Urgent: faculty is not responding to doubts,Faculty / Academics
Safety signage missing in Block C,Ragging / Safety
Urgent: long waiting time in canteen,Canteen
Canteen food quality is bad since yesterday,Canteen
Urgent: bed is broken in hostel room,Hostel
Urgent: lift not working in block c,Infrastructure
Server is down during submission,IT / WiFi
Orientation sessions are unclear during peak hours,Other
Lack of green spaces on campus during peak hours,Other
Urgent: mosquito problem in hostel room,Hostel
Canteen food quality is bad in Block C,Canteen
Urgent: fee deadline extension needed,Fees / Admin
Classroom speakers not working,Infrastructure
Captcha error on login in Block C,IT / WiFi
Emergency helpline not responding in Block C,Ragging / Safety
Room fan is not working in hostel in Block C,Hostel
Urgent: result correction request pending,Exams / Results
Driver drives rashly during peak hours,Transport
Urgent: wifi disconnects frequently,IT / WiFi
Emergency helpline not responding during peak hours,Ragging / Safety
Revaluation result pending during peak hours,Exams / Results
Bus pass not issued since yesterday,Transport
Admit card download failed in Block C,Exams / Results
Poor lighting in parking area in Block C,Ragging / Safety
Room fan is not working in hostel in Block C,Hostel
Seniors are harassing juniors since yesterday,Ragging / Safety
WiFi disconnects frequently,IT / WiFi
Result correction request pending in Block C,Exams / Results
Doubts not cleared in lab during peak hours,Faculty / Academics
Urgent: need more charging points,Other
Sports equipment is damaged,Other
No dustbin in corridor during peak hours,Infrastructure
Urgent: revaluation result pending,Exams / Results
ID card not issued since yesterday,Fees / Admin
Scholarship amount not credited in Block C,Fees / Admin
Hostel WiFi not working,Hostel
Attendance portal is slow,IT / WiFi
Doubts not cleared in lab since yesterday,Faculty / Academics
Room fan is not working in hostel,Hostel
Teacher is not explaining properly,Faculty / Academics
Sports equipment is damaged in Block C,Other
No quiet zones in library,Other
No escort service at night during peak hours,Ragging / Safety
Room light is flickering in hostel,Hostel
Feedback not considered during peak hours,Faculty / Academics
Urgent: security guards not attentive,Ragging / Safety
Broken bench in classroom,Infrastructure
VPN access is failing,IT / WiFi
Urgent: door hinges are broken,Infrastructure
Bus is overcrowded during peak hours,Transport
Name correction request pending,Fees / Admin
Suspicious activity near hostel gate in Block C,Ragging / Safety
Faculty is absent frequently in Block C,Faculty / Academics
No drinking water near canteen during peak hours,Canteen
Bus breakdown on the way,Transport
Urgent: unauthorized people entering campus,Ragging / Safety
Urgent: hot water not available in hostel,Hostel
Bonafide certificate delayed since yesterday,Fees / Admin
Doubts not cleared in lab in Block C,Faculty / Academics
Bus is overcrowded in Block C,Transport
Power cut in hostel since morning since yesterday,Hostel
No proper announcement system,Other
Document verification delayed during peak hours,Fees / Admin
Urgent: need more water coolers,Other
Bus AC not working since yesterday,Transport
No seating space in peak hours in Block C,Canteen
No drinking water near canteen since yesterday,Canteen
Attendance portal is slow,IT / WiFi
Teacher is not explaining properly,Faculty / Academics
Verbal abuse by seniors in Block C,Ragging / Safety
No guidance for projects since yesterday,Faculty / Academics
Bus seats are damaged during peak hours,Transport
Urgent: fan is not working in class,Infrastructure
No digital payment accepted,Canteen
Door hinges are broken in Block C,Infrastructure
Lack of green spaces on campus,Other
Projector not working in seminar hall since yesterday,Infrastructure
Late announcement of exam changes,Exams / Results
Need more clubs and activities in Block C,Other
Seating arrangement confusion during peak hours,Exams / Results
Canteen closes too early in Block C,Canteen
Poor lighting in parking area during peak hours,Ragging / Safety
Bus pass not issued since yesterday,Transport
Bus breakdown on the way since yesterday,Transport
Seating arrangement confusion in Block C,Exams / Results
Urgent: fee deadline extension needed,Fees / Admin
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
No internet in classroom in Block C,IT / WiFi
Teaching quality is poor in Block C,Faculty / Academics
Hall ticket not generated in Block C,Exams / Results
Teacher arrives late to class in Block C,Faculty / Academics
Room fan is not working in hostel during peak hours,Hostel
Bus route has been changed suddenly since yesterday,Transport
Ragging happening near canteen,Ragging / Safety
Classroom is too hot,Infrastructure
Door hinges are broken during peak hours,Infrastructure
Urgent: question paper had errors,Exams / Results
Name correction request pending in Block C,Fees / Admin
Urgent: feeling unsafe in hostel at night,Ragging / Safety
Question paper had errors during peak hours,Exams / Results
Threats received from seniors since yesterday,Ragging / Safety
Bus AC not working,Transport
Urgent: no proper announcement system,Other
Urgent: limited food options available,Canteen
Attendance portal is slow,IT / WiFi
Projector not working in seminar hall in Block C,Infrastructure
Urgent: need more clubs and activities,Other
Urgent: hot water not available in hostel,Hostel
Sports equipment is damaged during peak hours,Other
Urgent: name correction request pending,Fees / Admin
Food is stale since yesterday,Canteen
Unauthorized people entering campus during peak hours,Ragging / Safety
Need more water coolers during peak hours,Other
Portal shows error while uploading,IT / WiFi
No drinking water near canteen since yesterday,Canteen
Urgent: no water in hostel bathroom,Hostel
Hostel food quality is very bad in Block C,Hostel
Need more clubs and activities,Other
Room fan is not working in hostel during peak hours,Hostel
Campus is too crowded,Other
Exam center changed suddenly since yesterday,Exams / Results
No notes provided by faculty,Faculty / Academics
Urgent: class is too fast to understand,Faculty / Academics
Classroom is too hot,Infrastructure
Two-factor authentication not working during peak hours,IT / WiFi
Room light is flickering in hostel during peak hours,Hostel
Fees portal not opening in Block C,Fees / Admin
Admin staff is rude in Block C,Fees / Admin
Urgent: bus route has been changed suddenly,Transport
Urgent: teacher arrives late to class,Faculty / Academics
Door hinges are broken during peak hours,Infrastructure
Driver drives rashly,Transport
Hall ticket not generated during peak hours,Exams / Results
No response for TC request in Block C,Fees / Admin
Bus timings are inconvenient in Block C,Transport
Teacher arrives late to class in Block C,Faculty / Academics
Sports equipment is damaged in Block C,Other
Need career guidance sessions,Other
Hot water not available in hostel in Block C,Hostel
Fee receipt not generated during peak hours,Fees / Admin
College website is not opening during peak hours,IT / WiFi
Fees payment failed but amount debited,Fees / Admin
Admit card download failed in Block C,Exams / Results
Orientation sessions are unclear since yesterday,Other
Verbal abuse by seniors in Block C,Ragging / Safety
Broken bench in classroom,Infrastructure
Office hours unclear in Block C,Fees / Admin
VPN access is failing in Block C,IT / WiFi
Mosquito problem in hostel room during peak hours,Hostel
Drinking water cooler not working in hostel in Block C,Hostel
Exam center changed suddenly since yesterday,Exams / Results
Canteen is overcrowded during peak hours,Canteen
No CCTV in corridor during peak hours,Ragging / Safety
Feedback not considered in Block C,Faculty / Academics
Lack of green spaces on campus in Block C,Other
No quiet zones in library since yesterday,Other
Need more water coolers,Other
Need more water coolers,Other
Suspicious activity near hostel gate,Ragging / Safety
No response for TC request in Block C,Fees / Admin
Password reset not working since yesterday,IT / WiFi
Teaching quality is poor in Block C,Faculty / Academics
No internet in classroom,IT / WiFi
No water in hostel bathroom since yesterday,Hostel
Urgent: name correction request pending,Fees / Admin
Seniors are harassing juniors in Block C,Ragging / Safety
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
Urgent: no seating space in peak hours,Canteen
Fees portal not opening in Block C,Fees / Admin
Feedback not considered since yesterday,Faculty / Academics
Orientation sessions are unclear in Block C,Other
Office is not responding,Fees / Admin
ID card not issued in Block C,Fees / Admin
Urgent: room light is flickering in hostel,Hostel
Duplicate fee charged during peak hours,Fees / Admin
Syllabus not completed on time in Block C,Faculty / Academics
Urgent: bed is broken in hostel room,Hostel
Password reset not working since yesterday,IT / WiFi
Hostel WiFi not working during peak hours,Hostel
Hostel WiFi not working,Hostel
Need alumni mentorship programs in Block C,Other
Urgent: water leakage in lab,Infrastructure
Bus route has been changed suddenly since yesterday,Transport
Urgent: wifi is not working in the lab,IT / WiFi
Internet speed is very slow,IT / WiFi
Mosquito problem in hostel room since yesterday,Hostel
Need more water coolers,Other
Unable to login to student portal since yesterday,IT / WiFi
Ragging happening near canteen during peak hours,Ragging / Safety
Need more charging points,Other
ID card not issued during peak hours,Fees / Admin
Two-factor authentication not working in Block C,IT / WiFi
Urgent: drinking water cooler not working in hostel,Hostel
No dustbin in corridor since yesterday,Infrastructure
Power cut in hostel since morning since yesterday,Hostel
Broken bench in classroom,Infrastructure
No hygienic conditions in canteen in Block C,Canteen
Urgent: water leakage in lab,Infrastructure
Urgent: no hygienic conditions in canteen,Canteen
Teaching quality is poor since yesterday,Faculty / Academics
Fees portal not opening,Fees / Admin
Urgent: teaching quality is poor,Faculty / Academics
Feedback not considered in Block C,Faculty / Academics
Network issue in library in Block C,IT / WiFi
WiFi disconnects frequently,IT / WiFi
Bus is late every morning since yesterday,Transport
Room light is flickering in hostel,Hostel
Library closing too early,Other
Unable to login to student portal during peak hours,IT / WiFi
Food allergy info not available,Canteen
Canteen closes too early during peak hours,Canteen
Orientation sessions are unclear since yesterday,Other
Urgent: bus timings are inconvenient,Transport
Urgent: college website is not opening,IT / WiFi
ID card not issued,Fees / Admin
Transport fee is too high in Block C,Transport
Food allergy info not available since yesterday,Canteen
Urgent: refund not processed,Fees / Admin
Portal shows error while uploading during peak hours,IT / WiFi
Exam timetable not released,Exams / Results
Result correction request pending in Block C,Exams / Results
Food is overpriced in canteen,Canteen
Office hours unclear in Block C,Fees / Admin
Doubts not cleared in lab during peak hours,Faculty / Academics
Question paper had errors during peak hours,Exams / Results
Need more charging points in Block C,Other
Office is not responding in Block C,Fees / Admin
Urgent: bus ac not working,Transport
Air circulation is poor since yesterday,Infrastructure
Security is not available in block B,Ragging / Safety
Urgent: bus breakdown on the way,Transport
Answer scripts not uploaded in Block C,Exams / Results
Urgent: toilet is very dirty,Infrastructure
Course outcomes not explained in Block C,Faculty / Academics
Bus is overcrowded since yesterday,Transport
Need more water coolers during peak hours,Other
Long waiting time in canteen since yesterday,Canteen
No bus available for evening batch,Transport
Internet speed is very slow,IT / WiFi
Urgent: seating arrangement confusion,Exams / Results
No ramps for accessibility since yesterday,Infrastructure
Hall ticket not generated in Block C,Exams / Results
Syllabus not completed on time since yesterday,Faculty / Academics
Menu prices not displayed,Canteen
Answer scripts not uploaded since yesterday,Exams / Results
Urgent: bus is overcrowded,Transport
No response for TC request,Fees / Admin
No bus available for evening batch in Block C,Transport
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
Urgent: parking space is insufficient,Other
Hostel common area is unhygienic,Hostel
No proper announcement system,Other
Unfair internal marks given during peak hours,Faculty / Academics
Classroom speakers not working,Infrastructure
Bus is overcrowded during peak hours,Transport
Admin staff is rude since yesterday,Fees / Admin
Urgent: room light is flickering in hostel,Hostel
No water in hostel bathroom since yesterday,Hostel
Need more charging points in Block C,Other
Urgent: portal shows error while uploading,IT / WiFi
Feedback not considered in Block C,Faculty / Academics
Lights are not working in corridor,Infrastructure
No response for TC request since yesterday,Fees / Admin
Hostel common area is unhygienic during peak hours,Hostel
Fee receipt not generated,Fees / Admin
Hostel WiFi not working,Hostel
Exam schedule overlaps since yesterday,Exams / Results
Exam center changed suddenly in Block C,Exams / Results
Urgent: broken bench in classroom,Infrastructure
Driver drives rashly during peak hours,Transport
Canteen food quality is bad,Canteen
Network issue in library during peak hours,IT / WiFi
Urgent: staff behavior is rude in canteen,Canteen
Unauthorized people entering campus,Ragging / Safety
Fees portal not opening,Fees / Admin
Need more water coolers in Block C,Other
Emergency helpline not responding during peak hours,Ragging / Safety
Food is stale during peak hours,Canteen
Urgent: orientation sessions are unclear,Other
No water in hostel bathroom during peak hours,Hostel
Hostel WiFi not working,Hostel
Attendance portal is slow in Block C,IT / WiFi
Urgent: utensils are dirty,Canteen
Bus breakdown on the way during peak hours,Transport
Broken door lock in hostel room since yesterday,Hostel
Fee receipt not generated,Fees / Admin
Seniors are harassing juniors since yesterday,Ragging / Safety
Urgent: verbal abuse by seniors,Ragging / Safety
Classroom is too hot in Block C,Infrastructure
Food allergy info not available during peak hours,Canteen
Fees payment failed but amount debited during peak hours,Fees / Admin
Exam results are delayed,Exams / Results
Security is not available in block B during peak hours,Ragging / Safety
Fees portal not opening in Block C,Fees / Admin
Room fan is not working in hostel in Block C,Hostel
Parking space is insufficient,Other
Internet speed is very slow since yesterday,IT / WiFi
Fees payment failed but amount debited since yesterday,Fees / Admin
Cracked wall in classroom since yesterday,Infrastructure
Urgent: hostel wifi not working,Hostel
Fees payment failed but amount debited in Block C,Fees / Admin
Lack of green spaces on campus since yesterday,Other
Need more cultural events,Other
Hostel WiFi not working in Block C,Hostel
Faculty is absent frequently,Faculty / Academics
Urgent: sports equipment is damaged,Other
Long waiting time in canteen during peak hours,Canteen
Urgent: cracked wall in classroom,Infrastructure
Bus breakdown on the way since yesterday,Transport
Menu prices not displayed in Block C,Canteen
Portal shows error while uploading since yesterday,IT / WiFi
Faculty is absent frequently,Faculty / Academics
Urgent: bullying in college campus,Ragging / Safety
Canteen is overcrowded,Canteen
Bus is overcrowded,Transport
Bus seats are damaged during peak hours,Transport
Bus timings are inconvenient since yesterday,Transport
Fees payment failed but amount debited since yesterday,Fees / Admin
Poor lighting in parking area,Ragging / Safety
Document verification delayed in Block C,Fees / Admin
No drinking water near canteen during peak hours,Canteen
Bullying in college campus since yesterday,Ragging / Safety
Hall ticket not generated since yesterday,Exams / Results
Bus is late every morning,Transport
Safety signage missing during peak hours,Ragging / Safety
Name correction request pending,Fees / Admin
Classroom speakers not working in Block C,Infrastructure
Doubts not cleared in lab during peak hours,Faculty / Academics
Admin staff is rude,Fees / Admin
Canteen is overcrowded in Block C,Canteen
College website is not opening,IT / WiFi
Refund not processed during peak hours,Fees / Admin
Office is not responding in Block C,Fees / Admin
Canteen food quality is bad during peak hours,Canteen
Result correction request pending during peak hours,Exams / Results
Urgent: no internet in classroom,IT / WiFi
Poor lighting in parking area during peak hours,Ragging / Safety
Office hours unclear since yesterday,Fees / Admin
Sports equipment is damaged,Other
Seating arrangement confusion since yesterday,Exams / Results
Bus is overcrowded since yesterday,Transport
No seating space in peak hours during peak hours,Canteen
Urgent: syllabus not completed on time,Faculty / Academics
Emergency helpline not responding since yesterday,Ragging / Safety
Wardens not responding to complaints,Hostel
Bus timings are inconvenient in Block C,Transport
Fee receipt not generated,Fees / Admin
Bus seats are damaged in Block C,Transport
Urgent: food is overpriced in canteen,Canteen
Urgent: faculty is not responding to doubts,Faculty / Academics
Windows are jammed since yesterday,Infrastructure
Lights are not working in corridor,Infrastructure
Urgent: security guards not attentive,Ragging / Safety
Need alumni mentorship programs during peak hours,Other
Urgent: parking space is insufficient,Other
Fee deadline extension needed,Fees / Admin
Faculty is absent frequently in Block C,Faculty / Academics
Food allergy info not available since yesterday,Canteen
Room fan is not working in hostel since yesterday,Hostel
Hall ticket not generated since yesterday,Exams / Results
Menu prices not displayed during peak hours,Canteen
Room light is flickering in hostel,Hostel
Bus route has been changed suddenly,Transport
Classroom speakers not working since yesterday,Infrastructure
Urgent: lift not working in block c,Infrastructure
Duplicate fee charged during peak hours,Fees / Admin
Document verification delayed since yesterday,Fees / Admin
Bus is overcrowded during peak hours,Transport
Unable to login to student portal since yesterday,IT / WiFi
Urgent: toilet is very dirty,Infrastructure
Limited food options available since yesterday,Canteen
Bed is broken in hostel room since yesterday,Hostel
Power cut in hostel since morning,Hostel
Captcha error on login in Block C,IT / WiFi
Seating arrangement confusion,Exams / Results
No quiet zones in library during peak hours,Other
No escort service at night,Ragging / Safety
Broken door lock in hostel room,Hostel
Two-factor authentication not working,IT / WiFi
Bullying in college campus in Block C,Ragging / Safety
Urgent: security is not available in block b,Ragging / Safety
Bus stop changed without notice in Block C,Transport
Limited food options available,Canteen
Course outcomes not explained,Faculty / Academics
Unable to login to student portal,IT / WiFi
Scholarship amount not credited in Block C,Fees / Admin
Emergency helpline not responding since yesterday,Ragging / Safety
Bus cleanliness is poor,Transport
Name correction request pending during peak hours,Fees / Admin
WiFi disconnects frequently during peak hours,IT / WiFi
Poor lighting in parking area during peak hours,Ragging / Safety
LMS not loading videos since yesterday,IT / WiFi
Feedback not considered since yesterday,Faculty / Academics
Mosquito problem in hostel room,Hostel
Room fan is not working in hostel since yesterday,Hostel
Server is down during submission during peak hours,IT / WiFi
Seniors are harassing juniors in Block C,Ragging / Safety
Urgent: no internet in classroom,IT / WiFi
College website is not opening,IT / WiFi
Seniors are harassing juniors since yesterday,Ragging / Safety
Need more clubs and activities during peak hours,Other
Hostel common area is unhygienic,Hostel
Teacher is not explaining properly during peak hours,Faculty / Academics
Verbal abuse by seniors since yesterday,Ragging / Safety
Hostel food quality is very bad since yesterday,Hostel
Admit card download failed,Exams / Results
Document verification delayed since yesterday,Fees / Admin
Staff behavior is rude in canteen,Canteen
Sports equipment is damaged in Block C,Other
Urgent: attendance portal is slow,IT / WiFi
Urgent: id card not issued,Fees / Admin
Late announcement of exam changes,Exams / Results
Bus stop changed without notice since yesterday,Transport
Urgent: staff behavior is rude in canteen,Canteen
Doubts not cleared in lab during peak hours,Faculty / Academics
Document verification delayed since yesterday,Fees / Admin
Security is not available in block B since yesterday,Ragging / Safety
Menu prices not displayed in Block C,Canteen
Mentor meetings are irregular,Faculty / Academics
Urgent: need more clubs and activities,Other
Question paper had errors during peak hours,Exams / Results
Bus is overcrowded since yesterday,Transport
Need more study space,Other
Teacher arrives late to class since yesterday,Faculty / Academics
Class is too fast to understand,Faculty / Academics
Fees portal not opening during peak hours,Fees / Admin
Lift not working in block C in Block C,Infrastructure
Faculty is not responding to doubts since yesterday,Faculty / Academics
WiFi is not working in the lab,IT / WiFi
Teacher arrives late to class in Block C,Faculty / Academics
Urgent: wifi disconnects frequently,IT / WiFi
No guidance for projects since yesterday,Faculty / Academics
Urgent: toilet is very dirty,Infrastructure
Class is too fast to understand during peak hours,Faculty / Academics
LMS not loading videos in Block C,IT / WiFi
VPN access is failing during peak hours,IT / WiFi
Suspicious activity near hostel gate in Block C,Ragging / Safety
Transport fee is too high during peak hours,Transport
Urgent: need more cultural events,Other
Admit card download failed since yesterday,Exams / Results
Syllabus not completed on time during peak hours,Faculty / Academics
Menu prices not displayed,Canteen
WiFi is not working in the lab,IT / WiFi
Sports equipment is damaged,Other
Hostel food quality is very bad during peak hours,Hostel
Ragging happening near canteen during peak hours,Ragging / Safety
Cracked wall in classroom,Infrastructure
Class is too fast to understand,Faculty / Academics
Security guards not attentive since yesterday,Ragging / Safety
Bed is broken in hostel room in Block C,Hostel
Bus is overcrowded,Transport
Bus pass not issued in Block C,Transport
Fees payment failed but amount debited in Block C,Fees / Admin
Emergency helpline not responding during peak hours,Ragging / Safety
Bullying in college campus since yesterday,Ragging / Safety
Need more water coolers in Block C,Other
Hot water not available in hostel since yesterday,Hostel
Transport fee is too high in Block C,Transport
Suspicious activity near hostel gate since yesterday,Ragging / Safety
Password reset not working during peak hours,IT / WiFi
Urgent: bus timings are inconvenient,Transport
VPN access is failing since yesterday,IT / WiFi
Two-factor authentication not working during peak hours,IT / WiFi
Staff behavior is rude in canteen since yesterday,Canteen
Doubts not cleared in lab in Block C,Faculty / Academics
Attendance portal is slow since yesterday,IT / WiFi
Urgent: toilet is very dirty,Infrastructure
Hostel WiFi not working in Block C,Hostel
Urgent: hostel common area is unhygienic,Hostel
Suspicious activity near hostel gate,Ragging / Safety
Question paper had errors in Block C,Exams / Results
Fees portal not opening in Block C,Fees / Admin
Bonafide certificate delayed,Fees / Admin
Air circulation is poor during peak hours,Infrastructure
Hostel food quality is very bad,Hostel
Room fan is not working in hostel,Hostel
No notes provided by faculty in Block C,Faculty / Academics
Syllabus not completed on time since yesterday,Faculty / Academics
Urgent: poor lighting in parking area,Ragging / Safety
Mentor meetings are irregular since yesterday,Faculty / Academics
Windows are jammed since yesterday,Infrastructure
Internet speed is very slow during peak hours,IT / WiFi
Faculty is absent frequently during peak hours,Faculty / Academics
Urgent: class is too fast to understand,Faculty / Academics
Bus breakdown on the way,Transport
Course outcomes not explained in Block C,Faculty / Academics
Ragging happening near canteen in Block C,Ragging / Safety
Bus route has been changed suddenly during peak hours,Transport
Room fan is not working in hostel during peak hours,Hostel
No digital payment accepted in Block C,Canteen
Urgent: bus stop changed without notice,Transport
Revaluation result pending in Block C,Exams / Results
Exam results are delayed,Exams / Results
Result correction request pending since yesterday,Exams / Results
Urgent: internet speed is very slow,IT / WiFi
Course outcomes not explained during peak hours,Faculty / Academics
Air circulation is poor during peak hours,Infrastructure
Urgent: no notes provided by faculty,Faculty / Academics
AC not cooling in hostel room since yesterday,Hostel
Sports equipment is damaged,Other
Bus timings are inconvenient since yesterday,Transport
ID card not issued in Block C,Fees / Admin
Bed is broken in hostel room,Hostel
Long waiting time in canteen in Block C,Canteen
Bus pass not issued during peak hours,Transport
No dustbin in corridor since yesterday,Infrastructure
Course outcomes not explained during peak hours,Faculty / Academics
Mosquito problem in hostel room since yesterday,Hostel
Urgent: bus pass not issued,Transport
Utensils are dirty in Block C,Canteen
Need more study space in Block C,Other
Fees payment failed but amount debited during peak hours,Fees / Admin
LMS not loading videos in Block C,IT / WiFi
Need more cultural events during peak hours,Other
Urgent: revaluation result pending,Exams / Results
VPN access is failing,IT / WiFi
Verbal abuse by seniors,Ragging / Safety
Seniors are harassing juniors in Block C,Ragging / Safety
Urgent: faculty behavior is rude,Faculty / Academics
Bus timings are inconvenient since yesterday,Transport
Bus route has been changed suddenly during peak hours,Transport
Food is overpriced in canteen in Block C,Canteen
Teacher is not explaining properly,Faculty / Academics
Need more cultural events in Block C,Other
Urgent: college website is not opening,IT / WiFi
Urgent: captcha error on login,IT / WiFi
Canteen is overcrowded during peak hours,Canteen
Password reset not working during peak hours,IT / WiFi
Bus did not come today during peak hours,Transport
Captcha error on login in Block C,IT / WiFi
Hostel common area is unhygienic since yesterday,Hostel
Exam schedule overlaps in Block C,Exams / Results
Urgent: staff behavior is rude in canteen,Canteen
Urgent: need more charging points,Other
No notes provided by faculty during peak hours,Faculty / Academics
Name correction request pending during peak hours,Fees / Admin
Teacher is not explaining properly since yesterday,Faculty / Academics
Scholarship amount not credited,Fees / Admin
Limited food options available since yesterday,Canteen
Fee deadline extension needed,Fees / Admin
Urgent: campus is too crowded,Other
Wardens not responding to complaints in Block C,Hostel
Urgent: bed is broken in hostel room,Hostel
Exam timetable not released,Exams / Results
Lights are not working in corridor,Infrastructure
Result portal is not loading,Exams / Results
Fan is not working in class in Block C,Infrastructure
Bonafide certificate delayed,Fees / Admin
Attendance portal is slow in Block C,IT / WiFi
Verbal abuse by seniors since yesterday,Ragging / Safety
Wardens not responding to complaints in Block C,Hostel
Class is too fast to understand in Block C,Faculty / Academics
Bus is late every morning,Transport
Urgent: hostel common area is unhygienic,Hostel
Emergency helpline not responding during peak hours,Ragging / Safety
Urgent: canteen is overcrowded,Canteen
Office hours unclear during peak hours,Fees / Admin
Network issue in library since yesterday,IT / WiFi
Faculty is absent frequently during peak hours,Faculty / Academics
Hostel common area is unhygienic in Block C,Hostel
Utensils are dirty during peak hours,Canteen
Bus breakdown on the way in Block C,Transport
Classroom is too hot during peak hours,Infrastructure
LMS not loading videos since yesterday,IT / WiFi
Food is overpriced in canteen,Canteen
Lift not working in block C since yesterday,Infrastructure
Need more charging points,Other
Exam center changed suddenly in Block C,Exams / Results
ID card not issued in Block C,Fees / Admin
Faculty is not responding to doubts since yesterday,Faculty / Academics
Canteen closes too early in Block C,Canteen
No escort service at night since yesterday,Ragging / Safety
No drinking water near canteen,Canteen
Exam center changed suddenly since yesterday,Exams / Results
Limited food options available in Block C,Canteen
Drinking water cooler not working in hostel since yesterday,Hostel
Duplicate fee charged in Block C,Fees / Admin
Menu prices not displayed in Block C,Canteen
Need career guidance sessions in Block C,Other
No seating space in peak hours since yesterday,Canteen
Urgent: bus is late every morning,Transport
Urgent: captcha error on login,IT / WiFi
WiFi disconnects frequently since yesterday,IT / WiFi
Need alumni mentorship programs during peak hours,Other
Course outcomes not explained since yesterday,Faculty / Academics
Faculty is absent frequently in Block C,Faculty / Academics
Toilet is very dirty during peak hours,Infrastructure
Canteen closes too early in Block C,Canteen
Food allergy info not available in Block C,Canteen
No response for TC request during peak hours,Fees / Admin
Feedback not considered since yesterday,Faculty / Academics
No announcement about bus delays,Transport
Classroom speakers not working since yesterday,Infrastructure
Urgent: no ramps for accessibility,Infrastructure
Broken bench in classroom,Infrastructure
Duplicate fee charged since yesterday,Fees / Admin
Room fan is not working in hostel in Block C,Hostel
Teaching quality is poor in Block C,Faculty / Academics
Orientation sessions are unclear since yesterday,Other
Urgent: bus cleanliness is poor,Transport
Feeling unsafe in hostel at night in Block C,Ragging / Safety
Need career guidance sessions in Block C,Other
Sports equipment is damaged during peak hours,Other
Revaluation result pending in Block C,Exams / Results
Parking space is insufficient since yesterday,Other
Urgent: bus is late every morning,Transport
Teacher arrives late to class during peak hours,Faculty / Academics
Bed is broken in hostel room during peak hours,Hostel
Wardens not responding to complaints,Hostel
Staff behavior is rude in canteen in Block C,Canteen
Urgent: seating arrangement confusion,Exams / Results
Urgent: captcha error on login,IT / WiFi
No water in hostel bathroom since yesterday,Hostel
Hall ticket not generated since yesterday,Exams / Results
Bus pass not issued in Block C,Transport
Refund not processed in Block C,Fees / Admin
Lack of green spaces on campus during peak hours,Other
Captcha error on login,IT / WiFi
